Year_UTC,Month_UTC,Station_ID,Depth,pHin,OmegaCAin,CO3in,Cruise,Station,Line,Cruise mid-date,Station date,Day_UTC,Local time (PST),Day or Night,Abundance,Estimated C Biomass (mgC m-2)
2009,1,080.0 055.0,1,8.08300282243498,3.64317302164442,151.32680116356,200901NH,55,80,2009-01-16,2009-01-19,19,20:38:00,Night,0,0
2009,1,080.0 055.0,50,7.89990489524793,2.37827842391397,99.837195920035,200901NH,55,80,2009-01-16,2009-01-19,19,20:38:00,Night,0,0
2009,1,080.0 055.0,100,7.74376581191069,1.63174000997404,69.3102140433981,200901NH,55,80,2009-01-16,2009-01-19,19,20:38:00,Night,0,0
2009,1,080.0 055.0,171,7.6793375835156,1.38211962400553,59.5781353107677,200901NH,55,80,2009-01-16,2009-01-19,19,20:38:00,Night,0,0
2009,3,080.0 055.0,3,8.06038264753671,3.41977886066119,142.189756788919,200903JD,55,80,2009-03-16,2009-03-20,20,00:39:00,Night,1038.97,0.31
2009,3,080.0 055.0,21,8.05147046983808,3.34055495969284,139.345897420264,200903JD,55,80,2009-03-16,2009-03-20,20,00:39:00,Night,1038.97,0.31
2009,3,080.0 055.0,51,7.86586265338685,2.14405438324469,90.0399612936261,200903JD,55,80,2009-03-16,2009-03-20,20,00:39:00,Night,1038.97,0.31
2009,3,080.0 055.0,102,7.73651431538947,1.56334198322174,66.4473557640368,200903JD,55,80,2009-03-16,2009-03-20,20,00:39:00,Night,1038.97,0.31
2009,3,080.0 055.0,169,7.64939220194325,1.28411074186998,55.3605109279871,200903JD,55,80,2009-03-16,2009-03-20,20,00:39:00,Night,1038.97,0.31
2009,7,080.0 055.0,2,8.02374815512269,3.35550396860382,139.574976976716,200907M2,55,80,2009-07-23,2009-07-27,27,08:59:00,Day,4497.27,1.42
2009,7,080.0 055.0,20,7.83622545422006,2.0835489790617,87.0331172186601,200907M2,55,80,2009-07-23,2009-07-27,27,08:59:00,Day,4497.27,1.42
2009,7,080.0 055.0,50,7.76301204289599,1.71614273590692,72.1535315122078,200907M2,55,80,2009-07-23,2009-07-27,27,08:59:00,Day,4497.27,1.42
2009,7,080.0 055.0,101,7.70627430106037,1.49251666863771,63.4347591712731,200907M2,55,80,2009-07-23,2009-07-27,27,08:59:00,Day,4497.27,1.42
2009,7,080.0 055.0,171,7.67186901528656,1.35832433731698,58.568087866364,200907M2,55,80,2009-07-23,2009-07-27,27,08:59:00,Day,4497.27,1.42
2009,7,080.0 080.0,2,8.06750373331633,3.87573620188141,160.598295934781,200907M2,80,80,2009-07-23,2009-07-27,27,01:02:00,Night,2067.87,0.96
2009,11,080.0 080.0,2,8.07702387786602,3.86871182075896,160.378625604427,200911NH,80,80,2009-11-14,2009-11-19,19,15:33:00,Day,839.07,0.25
2009,11,090.0 030.0,1,8.07283761407547,4.17982049981025,173.190127500899,200911NH,30,90,2009-11-14,2009-11-12,12,18:38:00,Night,1191.52,0.37
2009,11,090.0 030.0,20,8.07506498221981,4.0283557284557,167.521414005357,200911NH,30,90,2009-11-14,2009-11-12,12,18:38:00,Night,1191.52,0.37
2009,11,090.0 030.0,50,7.98117534010413,2.88380357854989,120.788601320032,200911NH,30,90,2009-11-14,2009-11-12,12,18:38:00,Night,1191.52,0.37
2009,11,090.0 030.0,100,7.8168396269512,1.9498401453387,82.6435629408796,200911NH,30,90,2009-11-14,2009-11-12,12,18:38:00,Night,1191.52,0.37
2009,11,090.0 030.0,171,7.70253091593209,1.4813091095225,63.8064253163427,200911NH,30,90,2009-11-14,2009-11-12,12,18:38:00,Night,1191.52,0.37
2009,11,090.0 045.0,2,8.06425596399884,4.18889321834047,173.605573540021,200911NH,45,90,2009-11-14,2009-11-12,12,01:57:00,Night,4241.68,1.88
2009,11,090.0 045.0,20,8.06240839657154,4.14791048471932,172.408065925674,200911NH,45,90,2009-11-14,2009-11-12,12,01:57:00,Night,4241.68,1.88
2009,11,090.0 045.0,50,7.92194985272782,2.48551453633846,104.216676484346,200911NH,45,90,2009-11-14,2009-11-12,12,01:57:00,Night,4241.68,1.88
2009,11,090.0 045.0,100,7.75515041772784,1.70183685535405,72.204381837801,200911NH,45,90,2009-11-14,2009-11-12,12,01:57:00,Night,4241.68,1.88
2009,11,090.0 045.0,171,7.69763932441407,1.46300721194425,63.0355928196576,200911NH,45,90,2009-11-14,2009-11-12,12,01:57:00,Night,4241.68,1.88
2009,11,090.0 060.0,1,8.08156274464189,4.11096229622023,170.580222856985,200911NH,60,90,2009-11-14,2009-11-11,11,15:11:00,Day,2985.7,0.87
2009,11,090.0 060.0,20,8.07988651748731,4.05967626229645,169.028016359516,200911NH,60,90,2009-11-14,2009-11-11,11,15:11:00,Day,2985.7,0.87
2009,11,090.0 060.0,49,7.8706076753328,2.26310185110667,94.965024999316,200911NH,60,90,2009-11-14,2009-11-11,11,15:11:00,Day,2985.7,0.87
2009,11,090.0 060.0,100,7.76827194957165,1.69017157317008,71.7648227431383,200911NH,60,90,2009-11-14,2009-11-11,11,15:11:00,Day,2985.7,0.87
2009,11,090.0 060.0,170,7.72107483255893,1.48086341134759,63.8185044229163,200911NH,60,90,2009-11-14,2009-11-11,11,15:11:00,Day,2985.7,0.87
2009,11,090.0 090.0,2,8.07931449063793,3.9400201167085,163.264244670235,200911NH,90,90,2009-11-14,2009-11-10,10,19:38:00,Night,1177.29,0.57
2009,11,090.0 090.0,21,8.08704860537447,3.94647140850474,164.098882823003,200911NH,90,90,2009-11-14,2009-11-10,10,19:38:00,Night,1177.29,0.57
2009,11,090.0 090.0,51,8.08663197252556,3.83434796741838,160.408265447207,200911NH,90,90,2009-11-14,2009-11-10,10,19:38:00,Night,1177.29,0.57
2009,11,090.0 090.0,100,7.94801163630877,2.51894334408998,106.512801832127,200911NH,90,90,2009-11-14,2009-11-10,10,19:38:00,Night,1177.29,0.57
2009,11,090.0 090.0,171,7.81232338268653,1.84644409221533,79.4668027161766,200911NH,90,90,2009-11-14,2009-11-10,10,19:38:00,Night,1177.29,0.57
2010,1,080.0 080.0,2,8.08141925193376,3.59821232948534,149.251606591257,201001NH,80,80,2010-01-22,2010-01-28,28,19:05:00,Night,0,0
2010,1,090.0 030.0,2,8.08065191249679,3.92524617625676,162.975302161294,201001NH,30,90,2010-01-22,2010-01-19,19,06:44:00,Day,192.91,0.2
2010,1,090.0 030.0,20,8.07844412084141,3.8998322024577,162.412530908885,201001NH,30,90,2010-01-22,2010-01-19,19,06:44:00,Day,192.91,0.2
2010,1,090.0 030.0,50,8.06490187015464,3.74585133505488,156.805791770744,201001NH,30,90,2010-01-22,2010-01-19,19,06:44:00,Day,192.91,0.2
2010,1,090.0 030.0,100,7.90922306424674,2.34365384865863,99.1946012921557,201001NH,30,90,2010-01-22,2010-01-19,19,06:44:00,Day,192.91,0.2
2010,1,090.0 030.0,171,7.74237777088368,1.60725125255036,69.205778179311,201001NH,30,90,2010-01-22,2010-01-19,19,06:44:00,Day,192.91,0.2
2010,1,090.0 045.0,3,8.08005988562122,3.94052970683771,163.654002514644,201001NH,45,90,2010-01-22,2010-01-18,18,15:56:00,Day,0,0
